"date","account","category","amount","currency","converted.amount","currency.1","description"
"08/11/2016","Expense Account 1","Miscellaneous","-31","INR","-31","INR",""
"08/11/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"08/11/2016","Expense Account 1","Home Food","-31","INR","-31","INR",""
"10/11/2016","Expense Account 1","Miscellaneous","-1,000","INR","-1,000","INR",""
"10/11/2016","Expense Account 1","Commuting","-33","INR","-33","INR",""
"10/11/2016","Expense Account 1","Entertainment","-664","INR","-664","INR",""
"10/11/2016","Expense Account 1","Home Food","-33","INR","-33","INR",""
"10/11/2016","Expense Account 1","Commuting","-26","INR","-26","INR",""
"11/11/2016","Expense Account 1","Commuting","-133","INR","-133","INR",""
"12/11/2016","Expense Account 1","Entertainment","-1,536","INR","-1,536","INR",""
"13/11/2016","Expense Account 1","Home Food","-50","INR","-50","INR",""
"13/11/2016","Expense Account 1","Clothes","-990","INR","-990","INR",""
"13/11/2016","Expense Account 1","Miscellaneous","-290","INR","-290","INR",""
"14/11/2016","Expense Account 1","Commuting","-20","INR","-20","INR",""
"14/11/2016","Expense Account 1","Home Food","-27","INR","-27","INR",""
"14/11/2016","Expense Account 1","Miscellaneous","-720","INR","-720","INR",""
"14/11/2016","Expense Account 1","Miscellaneous","-13","INR","-13","INR",""
"14/11/2016","Expense Account 1","Home Food","-13","INR","-13","INR",""
"15/11/2016","Expense Account 1","Entertainment","-180","INR","-180","INR",""
"15/11/2016","Expense Account 1","Entertainment","-30","INR","-30","INR",""
"15/11/2016","Expense Account 1","Home Food","-65","INR","-65","INR",""
"15/11/2016","Expense Account 1","Commuting","-31","INR","-31","INR",""
"15/11/2016","Expense Account 1","Entertainment","-270","INR","-270","INR",""
"16/11/2016","Expense Account 1","Commuting","-16","INR","-16","INR",""
"16/11/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"16/11/2016","Expense Account 1","Miscellaneous","-220","INR","-220","INR",""
"17/11/2016","Expense Account 1","Commuting","-20","INR","-20","INR",""
"18/11/2016","Expense Account 1","Commuting","-23","INR","-23","INR",""
"18/11/2016","Expense Account 1","Miscellaneous","-75","INR","-75","INR",""
"18/11/2016","Expense Account 1","Commuting","-45","INR","-45","INR",""
"19/11/2016","Expense Account 1","Entertainment","-180","INR","-180","INR",""
"19/11/2016","Expense Account 1","Entertainment","-721","INR","-721","INR",""
"20/11/2016","Expense Account 1","Entertainment","-5,686","INR","-5,686","INR",""
"21/11/2016","Expense Account 1","Commuting","-19","INR","-19","INR",""
"21/11/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"22/11/2016","Expense Account 1","Commuting","-20","INR","-20","INR",""
"22/11/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"23/11/2016","Expense Account 1","Commuting","-5","INR","-5","INR",""
"23/11/2016","Expense Account 1","Miscellaneous","-49","INR","-49","INR",""
"23/11/2016","Expense Account 1","Commuting","-18","INR","-18","INR",""
"23/11/2016","Expense Account 1","Home Food","-39","INR","-39","INR",""
"24/11/2016","Expense Account 1","Commuting","-11","INR","-11","INR",""
"24/11/2016","Expense Account 1","Miscellaneous","-265","INR","-265","INR",""
"24/11/2016","Expense Account 1","Commuting","-13","INR","-13","INR",""
"25/11/2016","Expense Account 1","Entertainment","-85","INR","-85","INR",""
"25/11/2016","Expense Account 1","Entertainment","-810","INR","-810","INR",""
"25/11/2016","Expense Account 1","Entertainment","-50","INR","-50","INR",""
"25/11/2016","Expense Account 1","Miscellaneous","-500","INR","-500","INR",""
"27/11/2016","Expense Account 1","Entertainment","-33","INR","-33","INR",""
"27/11/2016","Expense Account 1","Entertainment","-183","INR","-183","INR",""
"28/11/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"29/11/2016","Expense Account 1","Commuting","-80","INR","-80","INR",""
"30/11/2016","Expense Account 1","Entertainment","-120","INR","-120","INR",""
"01/12/2016","Expense Account 1","Home Food","-50","INR","-50","INR",""
"01/12/2016","Expense Account 1","Commuting","-46","INR","-46","INR",""
"02/12/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"03/12/2016","Expense Account 1","Entertainment","-193","INR","-193","INR",""
"03/12/2016","Expense Account 1","Entertainment","-100","INR","-100","INR",""
"03/12/2016","Expense Account 1","Entertainment","-400","INR","-400","INR",""
"03/12/2016","Expense Account 1","Entertainment","-65","INR","-65","INR",""
"03/12/2016","Expense Account 1","Entertainment","-165","INR","-165","INR",""
"04/12/2016","Expense Account 1","Miscellaneous","-65","INR","-65","INR",""
"04/12/2016","Expense Account 1","Entertainment","-840","INR","-840","INR",""
"05/12/2016","Expense Account 1","Entertainment","-666","INR","-666","INR",""
"05/12/2016","Expense Account 1","Home Food","-130","INR","-130","INR",""
"05/12/2016","Expense Account 1","Entertainment","-40","INR","-40","INR",""
"05/12/2016","Expense Account 1","Home Food","-436","INR","-436","INR",""
"06/12/2016","Expense Account 1","Miscellaneous","-255","INR","-255","INR",""
"07/12/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"08/12/2016","Expense Account 1","Commuting","-11","INR","-11","INR",""
"08/12/2016","Expense Account 1","Commuting","-9","INR","-9","INR",""
"09/12/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"09/12/2016","Expense Account 1","Commuting","-50","INR","-50","INR",""
"09/12/2016","Expense Account 1","Entertainment","-26","INR","-26","INR",""
"11/12/2016","Expense Account 1","Entertainment","-300","INR","-300","INR",""
"11/12/2016","Expense Account 1","Entertainment","-36","INR","-36","INR",""
"11/12/2016","Expense Account 1","Clothes","-1,700","INR","-1,700","INR",""
"13/12/2016","Expense Account 1","Entertainment","-100","INR","-100","INR",""
"14/12/2016","Expense Account 1","Home Food","-20","INR","-20","INR",""
"15/12/2016","Expense Account 1","Entertainment","-33","INR","-33","INR",""
"15/12/2016","Expense Account 1","Commuting","-42","INR","-42","INR",""
"17/12/2016","Expense Account 1","Commuting","-20","INR","-20","INR",""
"18/12/2016","Expense Account 1","Entertainment","-155","INR","-155","INR",""
"18/12/2016","Expense Account 1","Miscellaneous","-140","INR","-140","INR",""
"18/12/2016","Expense Account 1","Entertainment","-216","INR","-216","INR",""
"19/12/2016","Expense Account 1","Home Food","-20","INR","-20","INR",""
"19/12/2016","Expense Account 1","Miscellaneous","-1,440","INR","-1,440","INR",""
"21/12/2016","Expense Account 1","Miscellaneous","-265","INR","-265","INR",""
"21/12/2016","Expense Account 1","Commuting","-60","INR","-60","INR",""
"22/12/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"22/12/2016","Expense Account 1","Commuting","-55","INR","-55","INR",""
"23/12/2016","Expense Account 1","Entertainment","-570","INR","-570","INR",""
"23/12/2016","Expense Account 1","Commuting","-1","INR","-1","INR",""
"23/12/2016","Expense Account 1","Commuting","-11","INR","-11","INR",""
"23/12/2016","Expense Account 1","Miscellaneous","-249","INR","-249","INR",""
"25/12/2016","Expense Account 1","Miscellaneous","-506","INR","-506","INR",""
"25/12/2016","Expense Account 1","Miscellaneous","-477","INR","-477","INR",""
"25/12/2016","Expense Account 1","Entertainment","-185","INR","-185","INR",""
"26/12/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"26/12/2016","Expense Account 1","Clothes","-180","INR","-180","INR",""
"26/12/2016","Expense Account 1","Miscellaneous","-65","INR","-65","INR",""
"27/12/2016","Expense Account 1","Commuting","-42","INR","-42","INR",""
"27/12/2016","Expense Account 1","Entertainment","-666","INR","-666","INR",""
"27/12/2016","Expense Account 1","Commuting","-60","INR","-60","INR",""
"27/12/2016","Expense Account 1","Commuting","-40","INR","-40","INR",""
"28/12/2016","Expense Account 1","Commuting","-90","INR","-90","INR",""
"29/12/2016","Expense Account 1","Miscellaneous","-599","INR","-599","INR",""
"29/12/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"29/12/2016","Expense Account 1","Commuting","-70","INR","-70","INR",""
"30/12/2016","Expense Account 1","Commuting","-15","INR","-15","INR",""
"30/12/2016","Expense Account 1","Commuting","-10","INR","-10","INR",""
"31/12/2016","Expense Account 1","Entertainment","-1,000","INR","-1,000","INR",""
"31/12/2016","Expense Account 1","Miscellaneous","-45","INR","-45","INR",""
"31/12/2016","Expense Account 1","Miscellaneous","-270","INR","-270","INR",""
"31/12/2016","Expense Account 1","Home Food","-37","INR","-37","INR",""
"31/12/2016","Expense Account 1","Entertainment","-39","INR","-39","INR",""
"01/01/2017","Expense Account 1","Entertainment","-13","INR","-13","INR",""
"02/01/2017","Expense Account 1","Commuting","-11","INR","-11","INR",""
"02/01/2017","Expense Account 1","Home Food","-32","INR","-32","INR",""
"02/01/2017","Expense Account 1","Miscellaneous","-95","INR","-95","INR",""
"03/01/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"03/01/2017","Expense Account 1","Commuting","-13","INR","-13","INR",""
"04/01/2017","Expense Account 1","Commuting","-30","INR","-30","INR",""
"04/01/2017","Expense Account 1","Entertainment","-73","INR","-73","INR",""
"05/01/2017","Expense Account 1","Commuting","-11","INR","-11","INR",""
"05/01/2017","Expense Account 1","Miscellaneous","-4","INR","-4","INR",""
"05/01/2017","Expense Account 1","Commuting","-45","INR","-45","INR",""
"06/01/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"06/01/2017","Expense Account 1","Entertainment","-733","INR","-733","INR",""
"07/01/2017","Expense Account 1","Entertainment","-170","INR","-170","INR",""
"08/01/2017","Expense Account 1","Entertainment","-51","INR","-51","INR",""
"09/01/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"09/01/2017","Expense Account 1","Miscellaneous","-31","INR","-31","INR",""
"10/01/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"10/01/2017","Expense Account 1","Entertainment","-70","INR","-70","INR",""
"10/01/2017","Expense Account 1","Commuting","-11","INR","-11","INR",""
"11/01/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"11/01/2017","Expense Account 1","Entertainment","-160","INR","-160","INR",""
"11/01/2017","Expense Account 1","Commuting","-9","INR","-9","INR",""
"11/01/2017","Expense Account 1","Miscellaneous","-150","INR","-150","INR",""
"11/01/2017","Expense Account 1","Home Food","-10","INR","-10","INR",""
"11/01/2017","Expense Account 1","Home Food","-42","INR","-42","INR",""
"12/01/2017","Expense Account 1","Miscellaneous","-327","INR","-327","INR",""
"12/01/2017","Expense Account 1","Home Food","-21","INR","-21","INR",""
"13/01/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"13/01/2017","Expense Account 1","Commuting","-103","INR","-103","INR",""
"13/01/2017","Expense Account 1","Entertainment","-40","INR","-40","INR",""
"14/01/2017","Expense Account 1","Home Food","-107","INR","-107","INR",""
"15/01/2017","Expense Account 1","Home Food","-66","INR","-66","INR",""
"16/01/2017","Expense Account 1","Commuting","-130","INR","-130","INR",""
"17/01/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"17/01/2017","Expense Account 1","Commuting","-13","INR","-13","INR",""
"18/01/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"18/01/2017","Expense Account 1","Miscellaneous","-265","INR","-265","INR",""
"18/01/2017","Expense Account 1","Commuting","-100","INR","-100","INR",""
"19/01/2017","Expense Account 1","Commuting","-105","INR","-105","INR",""
"20/01/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"23/01/2017","Expense Account 1","Miscellaneous","-159","INR","-159","INR",""
"24/01/2017","Expense Account 1","Home Food","-29","INR","-29","INR",""
"24/01/2017","Expense Account 1","Miscellaneous","-173","INR","-173","INR",""
"24/01/2017","Expense Account 1","Entertainment","-26","INR","-26","INR",""
"25/01/2017","Expense Account 1","Commuting","-30","INR","-30","INR",""
"25/01/2017","Expense Account 1","Home Food","-35","INR","-35","INR",""
"26/01/2017","Expense Account 1","Miscellaneous","-729","INR","-729","INR",""
"27/01/2017","Expense Account 1","Commuting","-26","INR","-26","INR",""
"27/01/2017","Expense Account 1","Commuting","-50","INR","-50","INR",""
"28/01/2017","Expense Account 1","Entertainment","-500","INR","-500","INR",""
"28/01/2017","Expense Account 1","Miscellaneous","-68","INR","-68","INR",""
"30/01/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"30/01/2017","Expense Account 1","Commuting","-26","INR","-26","INR",""
"30/01/2017","Expense Account 1","Home Food","-15","INR","-15","INR",""
"31/01/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"31/01/2017","Expense Account 1","Entertainment","-533","INR","-533","INR",""
"01/02/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"02/02/2017","Expense Account 1","Commuting","-75","INR","-75","INR",""
"02/02/2017","Expense Account 1","Entertainment","-950","INR","-950","INR",""
"02/02/2017","Expense Account 1","Commuting","-26","INR","-26","INR",""
"03/02/2017","Expense Account 1","Home Food","-34","INR","-34","INR",""
"05/02/2017","Expense Account 1","Miscellaneous","-25","INR","-25","INR",""
"05/02/2017","Expense Account 1","Home Food","-48","INR","-48","INR",""
"05/02/2017","Expense Account 1","Miscellaneous","-200","INR","-200","INR",""
"05/02/2017","Expense Account 1","Home Food","-103","INR","-103","INR",""
"06/02/2017","Expense Account 1","Commuting","-67","INR","-67","INR",""
"06/02/2017","Expense Account 1","Entertainment","-25","INR","-25","INR",""
"06/02/2017","Expense Account 1","Entertainment","-140","INR","-140","INR",""
"07/02/2017","Expense Account 1","Entertainment","-130","INR","-130","INR",""
"07/02/2017","Expense Account 1","Miscellaneous","-1,500","INR","-1,500","INR",""
"07/02/2017","Expense Account 1","Miscellaneous","-250","INR","-250","INR",""
"08/02/2017","Expense Account 1","Home Food","-45","INR","-45","INR",""
"08/02/2017","Expense Account 1","Home Food","-50","INR","-50","INR",""
"08/02/2017","Expense Account 1","Miscellaneous","-40","INR","-40","INR",""
"09/02/2017","Expense Account 1","Commuting","-95","INR","-95","INR",""
"09/02/2017","Expense Account 1","Miscellaneous","-1,000","INR","-1,000","INR",""
"10/02/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"10/02/2017","Expense Account 1","Commuting","-80","INR","-80","INR",""
"11/02/2017","Expense Account 1","Entertainment","-660","INR","-660","INR",""
"12/02/2017","Expense Account 1","Home Food","-99","INR","-99","INR",""
"13/02/2017","Expense Account 1","Entertainment","-50","INR","-50","INR",""
"15/02/2017","Expense Account 1","Home Food","-38","INR","-38","INR",""
"15/02/2017","Expense Account 1","Miscellaneous","-265","INR","-265","INR",""
"15/02/2017","Expense Account 1","Home Food","-60","INR","-60","INR",""
"15/02/2017","Expense Account 1","Miscellaneous","-40","INR","-40","INR",""
"16/02/2017","Expense Account 1","Commuting","-160","INR","-160","INR",""
"16/02/2017","Expense Account 1","Commuting","-74","INR","-74","INR",""
"17/02/2017","Expense Account 1","Miscellaneous","-150","INR","-150","INR",""
"17/02/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"17/02/2017","Expense Account 1","Commuting","-55","INR","-55","INR",""
"18/02/2017","Expense Account 1","Entertainment","-244","INR","-244","INR",""
"19/02/2017","Expense Account 1","Home Food","-42","INR","-42","INR",""
"19/02/2017","Expense Account 1","Home Food","-55","INR","-55","INR",""
"20/02/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"20/02/2017","Expense Account 1","Commuting","-55","INR","-55","INR",""
"21/02/2017","Expense Account 1","Entertainment","-360","INR","-360","INR",""
"21/02/2017","Expense Account 1","Commuting","-11","INR","-11","INR",""
"21/02/2017","Expense Account 1","Commuting","-48","INR","-48","INR",""
"22/02/2017","Expense Account 1","Home Food","-63","INR","-63","INR",""
"22/02/2017","Expense Account 1","Entertainment","-1,335","INR","-1,335","INR",""
"23/02/2017","Expense Account 1","Commuting","-11","INR","-11","INR",""
"23/02/2017","Expense Account 1","Commuting","-45","INR","-45","INR",""
"24/02/2017","Expense Account 1","Commuting","-41","INR","-41","INR",""
"25/02/2017","Expense Account 1","Entertainment","-585","INR","-585","INR",""
"25/02/2017","Expense Account 1","Home Food","-106","INR","-106","INR",""
"26/02/2017","Expense Account 1","Entertainment","-100","INR","-100","INR",""
"27/02/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"27/02/2017","Expense Account 1","Commuting","-18","INR","-18","INR",""
"28/02/2017","Expense Account 1","Home Food","-48","INR","-48","INR",""
"28/02/2017","Expense Account 1","Commuting","-46","INR","-46","INR",""
"01/03/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"02/03/2017","Expense Account 1","Commuting","-20","INR","-20","INR",""
"03/03/2017","Expense Account 1","Commuting","-70","INR","-70","INR",""
"03/03/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"03/03/2017","Expense Account 1","Commuting","-7","INR","-7","INR",""
"04/03/2017","Expense Account 1","Entertainment","-2,735","INR","-2,735","INR",""
"04/03/2017","Expense Account 1","Entertainment","-170","INR","-170","INR",""
"05/03/2017","Expense Account 1","Entertainment","-150","INR","-150","INR",""
"06/03/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"06/03/2017","Expense Account 1","Commuting","-56","INR","-56","INR",""
"07/03/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"07/03/2017","Expense Account 1","Commuting","-26","INR","-26","INR",""
"07/03/2017","Expense Account 1","Miscellaneous","-500","INR","-500","INR",""
"07/03/2017","Expense Account 1","Miscellaneous","-100","INR","-100","INR",""
"07/03/2017","Expense Account 1","Home Food","-58","INR","-58","INR",""
"08/03/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"08/03/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"09/03/2017","Expense Account 1","Commuting","-50","INR","-50","INR",""
"09/03/2017","Expense Account 1","Commuting","-55","INR","-55","INR",""
"10/03/2017","Expense Account 1","Entertainment","-450","INR","-450","INR",""
"10/03/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"10/03/2017","Expense Account 1","Miscellaneous","-2,000","INR","-2,000","INR",""
"10/03/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"13/03/2017","Expense Account 1","Entertainment","-260","INR","-260","INR",""
"13/03/2017","Expense Account 1","Commuting","-9","INR","-9","INR",""
"13/03/2017","Expense Account 1","Commuting","-126","INR","-126","INR",""
"14/03/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"14/03/2017","Expense Account 1","Entertainment","-490","INR","-490","INR",""
"15/03/2017","Expense Account 1","Commuting","-116","INR","-116","INR",""
"15/03/2017","Expense Account 1","Miscellaneous","-56","INR","-56","INR",""
"16/03/2017","Expense Account 1","Commuting","-33","INR","-33","INR",""
"16/03/2017","Expense Account 1","Miscellaneous","-133","INR","-133","INR",""
"16/03/2017","Expense Account 1","Home Food","-88","INR","-88","INR",""
"17/03/2017","Expense Account 1","Entertainment","-350","INR","-350","INR",""
"17/03/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"17/03/2017","Expense Account 1","Commuting","-120","INR","-120","INR",""
"18/03/2017","Expense Account 1","Entertainment","-88","INR","-88","INR",""
"18/03/2017","Expense Account 1","Miscellaneous","-100","INR","-100","INR",""
"18/03/2017","Expense Account 1","Miscellaneous","-335","INR","-335","INR",""
"18/03/2017","Expense Account 1","Home Food","-32","INR","-32","INR",""
"20/03/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"20/03/2017","Expense Account 1","Commuting","-13","INR","-13","INR",""
"21/03/2017","Expense Account 1","Commuting","-11","INR","-11","INR",""
"22/03/2017","Expense Account 1","Entertainment","-1,000","INR","-1,000","INR",""
"22/03/2017","Expense Account 1","Commuting","-58","INR","-58","INR",""
"22/03/2017","Expense Account 1","Entertainment","-100","INR","-100","INR",""
"22/03/2017","Expense Account 1","Home Food","-20","INR","-20","INR",""
"23/03/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"23/03/2017","Expense Account 1","Commuting","-115","INR","-115","INR",""
"24/03/2017","Expense Account 1","Commuting","-115","INR","-115","INR",""
"25/03/2017","Expense Account 1","Entertainment","-120","INR","-120","INR",""
"25/03/2017","Expense Account 1","Entertainment","-1,709","INR","-1,709","INR",""
"26/03/2017","Expense Account 1","Miscellaneous","-690","INR","-690","INR",""
"26/03/2017","Expense Account 1","Miscellaneous","-45","INR","-45","INR",""
"26/03/2017","Expense Account 1","Home Food","-30","INR","-30","INR",""
"27/03/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"27/03/2017","Expense Account 1","Commuting","-31","INR","-31","INR",""
"28/03/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"28/03/2017","Expense Account 1","Home Food","-110","INR","-110","INR",""
"29/03/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"29/03/2017","Expense Account 1","Home Food","-14","INR","-14","INR",""
"29/03/2017","Expense Account 1","Commuting","-29","INR","-29","INR",""
"30/03/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"30/03/2017","Expense Account 2","Miscellaneous","-9,097","INR","-9,097","INR",""
"30/03/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"30/03/2017","Expense Account 1","Commuting","-7","INR","-7","INR",""
"30/03/2017","Expense Account 1","Miscellaneous","-2","INR","-2","INR",""
"01/04/2017","Expense Account 1","Home Food","-60","INR","-60","INR",""
"01/04/2017","Expense Account 1","Home Food","-30","INR","-30","INR",""
"01/04/2017","Expense Account 1","Miscellaneous","-40","INR","-40","INR",""
"01/04/2017","Expense Account 1","Miscellaneous","-3,695","INR","-3,695","INR",""
"01/04/2017","Expense Account 1","Clothes","-2,000","INR","-2,000","INR",""
"01/04/2017","Expense Account 1","Miscellaneous","-2,200","INR","-2,200","INR",""
"02/04/2017","Expense Account 1","Home Food","-18","INR","-18","INR",""
"02/04/2017","Expense Account 1","Home Food","-56","INR","-56","INR",""
"02/04/2017","Expense Account 1","Home Food","-20","INR","-20","INR",""
"03/04/2017","Expense Account 1","Commuting","-7","INR","-7","INR",""
"04/04/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"04/04/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"04/04/2017","Expense Account 1","Home Food","-40","INR","-40","INR",""
"05/04/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"05/04/2017","Expense Account 1","Home Food","-127","INR","-127","INR",""
"06/04/2017","Expense Account 1","Entertainment","-88","INR","-88","INR",""
"06/04/2017","Expense Account 1","Entertainment","-30","INR","-30","INR",""
"06/04/2017","Expense Account 1","Commuting","-11","INR","-11","INR",""
"07/04/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"08/04/2017","Expense Account 1","Entertainment","-250","INR","-250","INR",""
"09/04/2017","Expense Account 1","Miscellaneous","-347","INR","-347","INR",""
"10/04/2017","Expense Account 1","Miscellaneous","-267","INR","-267","INR",""
"11/04/2017","Expense Account 1","Commuting","-72","INR","-72","INR",""
"11/04/2017","Expense Account 1","Commuting","-7","INR","-7","INR",""
"12/04/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"12/04/2017","Expense Account 1","Home Food","-32","INR","-32","INR",""
"13/04/2017","Expense Account 1","Commuting","-30","INR","-30","INR",""
"13/04/2017","Expense Account 1","Entertainment","-105","INR","-105","INR",""
"14/04/2017","Expense Account 1","Commuting","-59","INR","-59","INR",""
"14/04/2017","Expense Account 1","Entertainment","-150","INR","-150","INR",""
"15/04/2017","Expense Account 1","Entertainment","-44","INR","-44","INR",""
"16/04/2017","Expense Account 1","Entertainment","-1,870","INR","-1,870","INR",""
"17/04/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"17/04/2017","Expense Account 1","Entertainment","-70","INR","-70","INR",""
"17/04/2017","Expense Account 1","Commuting","-28","INR","-28","INR",""
"17/04/2017","Expense Account 1","Miscellaneous","-50","INR","-50","INR",""
"18/04/2017","Expense Account 1","Miscellaneous","-25","INR","-25","INR",""
"18/04/2017","Expense Account 1","Home Food","-10","INR","-10","INR",""
"18/04/2017","Expense Account 1","Home Food","-30","INR","-30","INR",""
"19/04/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"20/04/2017","Expense Account 1","Commuting","-11","INR","-11","INR",""
"20/04/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"20/04/2017","Expense Account 1","Home Food","-31","INR","-31","INR",""
"21/04/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"23/04/2017","Expense Account 1","Home Food","-60","INR","-60","INR",""
"23/04/2017","Expense Account 1","Miscellaneous","-50","INR","-50","INR",""
"23/04/2017","Expense Account 1","Entertainment","-28","INR","-28","INR",""
"24/04/2017","Expense Account 1","Commuting","-33","INR","-33","INR",""
"24/04/2017","Expense Account 1","Home Food","-80","INR","-80","INR",""
"25/04/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"25/04/2017","Expense Account 1","Commuting","-40","INR","-40","INR",""
"26/04/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"26/04/2017","Expense Account 1","Commuting","-40","INR","-40","INR",""
"26/04/2017","Expense Account 1","Home Food","-115","INR","-115","INR",""
"26/04/2017","Expense Account 1","Miscellaneous","-22","INR","-22","INR",""
"27/04/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"27/04/2017","Expense Account 1","Entertainment","-800","INR","-800","INR",""
"27/04/2017","Expense Account 1","Commuting","-80","INR","-80","INR",""
"27/04/2017","Expense Account 1","Miscellaneous","-40","INR","-40","INR",""
"28/04/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"28/04/2017","Expense Account 1","Commuting","-165","INR","-165","INR",""
"29/04/2017","Expense Account 1","Entertainment","-325","INR","-325","INR",""
"30/04/2017","Expense Account 1","Entertainment","-795","INR","-795","INR",""
"30/04/2017","Expense Account 1","Home Food","-110","INR","-110","INR",""
"30/04/2017","Expense Account 1","Entertainment","-205","INR","-205","INR",""
"30/04/2017","Expense Account 1","Entertainment","-112","INR","-112","INR",""
"01/05/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"01/05/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"01/05/2017","Expense Account 1","Home Food","-80","INR","-80","INR",""
"02/05/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"03/05/2017","Expense Account 1","Commuting","-11","INR","-11","INR",""
"04/05/2017","Expense Account 1","Home Food","-60","INR","-60","INR",""
"04/05/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"04/05/2017","Expense Account 1","Entertainment","-210","INR","-210","INR",""
"04/05/2017","Expense Account 1","Commuting","-13","INR","-13","INR",""
"05/05/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"05/05/2017","Expense Account 1","Commuting","-47","INR","-47","INR",""
"06/05/2017","Expense Account 1","Entertainment","-590","INR","-590","INR",""
"06/05/2017","Expense Account 1","Entertainment","-100","INR","-100","INR",""
"07/05/2017","Expense Account 1","Miscellaneous","-761","INR","-761","INR",""
"08/05/2017","Expense Account 1","Miscellaneous","-40","INR","-40","INR",""
"08/05/2017","Expense Account 1","Home Food","-100","INR","-100","INR",""
"08/05/2017","Expense Account 1","Commuting","-17","INR","-17","INR",""
"09/05/2017","Expense Account 1","Commuting","-11","INR","-11","INR",""
"09/05/2017","Expense Account 1","Miscellaneous","-1,600","INR","-1,600","INR",""
"09/05/2017","Expense Account 1","Clothes","-290","INR","-290","INR",""
"10/05/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"10/05/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"10/05/2017","Expense Account 1","Home Food","-74","INR","-74","INR",""
"11/05/2017","Expense Account 1","Clothes","-520","INR","-520","INR",""
"11/05/2017","Expense Account 1","Commuting","-15","INR","-15","INR",""
"12/05/2017","Expense Account 1","Entertainment","-120","INR","-120","INR",""
"12/05/2017","Expense Account 1","Home Food","-17","INR","-17","INR",""
"12/05/2017","Expense Account 1","Entertainment","-75","INR","-75","INR",""
"13/05/2017","Expense Account 1","Home Food","-18","INR","-18","INR",""
